"mean" "sd" "2.5%" "25%" "50%" "75%" "97.5%" "Rhat" "n.eff"
"alpha.at" 12.3615981186454 0.0795598173862485 12.2058139621448 12.3100176758183 12.3596012702494 12.4154333512718 12.5130694057128 1.00261968543383 820
"alpha.lfl" 1.11411544123523 0.0200478199901952 1.07517623742055 1.10106388053641 1.1143918566645 1.12704369332665 1.15333185142781 1.00018078377367 1800
"alpha.wt" 12.8642470588853 0.0823174186413641 12.7061342504906 12.8075591369482 12.8633093181599 12.9205189706075 13.0242607046233 1.00054931894265 1800
"beta.at" 6.07136438921026 0.110854101497234 5.85372856797126 6.00069358476682 6.07114001483947 6.14796618253976 6.28676070312566 1.00093781039179 1800
"beta.lfl" 1.16279693126672 0.0286288043748216 1.10668680313681 1.14418969802165 1.16210035703123 1.18284999102298 1.21776144632007 1.00059093270579 1800
"beta.wt" 6.42726806983935 0.11389702572821 6.21317926962139 6.34911537783491 6.42679439305453 6.50176693341466 6.65095463183854 1.00162952531731 1700
"deviance" 8456.64395678197 4.97907912722704 8448.89201832585 8453.02088810835 8455.98981188485 8459.57757218802 8468.14074983397 1.00270476287946 1800
"sd.at" 2.35310151862566 0.056455365694441 2.24944606479538 2.31308261182591 2.35195337551168 2.39087338748564 2.46771472791833 1.00123172216522 1800
"sd.lfl" 0.599229521195698 0.0142908388510811 0.572040050877627 0.589910352597291 0.598734390788704 0.608098729062003 0.629064268746629 1.00074576163003 1800
"sd.wt" 2.08021363746273 0.0561632711252887 1.97417972134477 2.04042131653276 2.07861923078502 2.11945582280814 2.19001804099472 1.00040777487704 1800
"t0.at" -23.9940038170058 0.22034003871478 -24.4358802279952 -24.1386506713608 -23.9962375927834 -23.8439435693348 -23.5533283604005 1.00052574595846 1800
"t0.lfl" -28.1992748616724 0.284931975976993 -28.7332120769623 -28.3939381411608 -28.2052082898544 -28.0141291135285 -27.6313564987667 1.00103576222225 1800
"t0.wt" -23.2557159036536 0.196670264945862 -23.6423958750191 -23.3880437395593 -23.2576961676688 -23.119615078944 -22.8756950367447 1.00233245781949 920
